PC Number,Date,Item,Price,Items Sold,Sold Amount,% Sales,Item Reductions,Item Refunds,Item Net Sales
355673,2020-03-25,z-No Price No Ice,0.0,174,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,z-No Price No Lemon,0.0,199,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,z-No Price No Whip Cream,0.0,147,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,z-No Price Regular,0.0,11616,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Z-Regular,0.0,4,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Assorted,0.0,866,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Bavarian Creme,0.0,115,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Blueberry,0.0,366,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Blueberry Glazed Ring,0.0,487,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Boston Kreme,0.0,1493,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Brownie Batter,0.0,97,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Chocolate Coconut,0.0,6,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Chocolate Creme,0.0,115,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Chocolate Frosted,0.0,2382,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Chocolate Frosted Sprinkles,0.0,377,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Chocolate Glazed,0.0,1441,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Coconut (D),0.0,5,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Cupid's Choice,0.0,85,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Double Chocolate,0.0,365,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,French Glazed Cruller,0.0,340,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Glazed,0.0,3097,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Glazed Cake,0.0,2,0.0,0.0,0.0,0.0,0.0
